Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Florida,2020,53,2021-01-02,5708,5260,72,908,179,179,76,244,53,74,81,1141,359,948,855,,,,,,,,,,,,,,,
Florida,2021,1,2021-01-09,5497,5067,61,854,183,138,68,228,61,91,80,1043,313,1061,970,,,,,,,,,,,,,,,
Florida,2021,2,2021-01-16,5923,5507,60,908,188,147,76,251,58,72,105,1106,348,1232,1112,,,,,,,,,,,,,,,
Florida,2021,3,2021-01-23,5663,5215,51,878,176,153,40,242,48,74,78,1041,352,1217,1120,,,,,,,,,,,,,,,
Florida,2021,4,2021-01-30,5487,5073,65,887,177,126,80,219,62,71,110,1000,292,1065,951,,,,,,,,,,,,,,,
Florida,2021,5,2021-02-06,5570,5115,63,896,155,135,60,205,63,86,124,1123,315,1035,943,,,,,,,,,,,,,,,
Florida,2021,6,2021-02-13,5458,5009,64,937,149,158,61,213,60,80,94,1028,325,874,797,,,,,,,,,,,,,,,
Florida,2021,7,2021-02-20,5119,4681,45,902,163,146,54,204,59,63,101,978,331,727,645,,,,,,,,,,,,,,,
Florida,2021,8,2021-02-27,4891,4476,68,898,159,137,44,196,65,71,95,995,304,599,524,,,,,,,,,,,,,,,
Florida,2021,9,2021-03-06,4820,4397,53,890,157,118,60,211,50,72,123,978,285,523,460,,,,,,,,,,,,,,,
Florida,2021,10,2021-03-13,4635,4257,53,891,143,133,51,196,40,61,141,906,301,436,380,,,,,,,,,,,,,,,
Florida,2021,11,2021-03-20,4579,4173,58,865,145,112,49,216,58,67,137,929,312,395,349,,,,,,,,,,,,,,,
Florida,2021,12,2021-03-27,4728,4337,57,887,151,126,46,217,43,73,162,1000,304,347,294,,,,,,,,,,,,,,,
Florida,2021,13,2021-04-03,4472,4109,43,903,156,138,48,192,45,53,183,915,262,356,317,,,,,,,,,,,,,,,
Florida,2021,14,2021-04-10,4692,4292,43,912,138,120,44,224,48,61,215,967,319,302,261,,,,,,,,,,,,,,,
Florida,2021,15,2021-04-17,4633,4260,60,945,150,120,45,208,45,53,245,894,250,337,293,,,,,,,,,,,,,,,
Florida,2021,16,2021-04-24,4710,4371,63,937,141,127,60,195,53,69,261,941,285,383,343,,,,,,,,,,,,,,,
Florida,2021,17,2021-05-01,4460,4168,42,873,126,119,49,203,61,77,243,876,283,337,306,,,,,,,,,,,,,,,
Florida,2021,18,2021-05-08,4567,4300,57,900,134,140,49,183,58,53,299,884,306,348,308,,,,,,,,,,,,,,,
Florida,2021,19,2021-05-15,4461,4181,36,920,132,107,51,183,65,53,330,847,282,312,280,,,,,,,,,,,,,,,
Florida,2021,20,2021-05-22,4441,4171,40,947,110,131,46,208,56,53,299,866,298,278,249,,,,,,,,,,,,,,,
Florida,2021,21,2021-05-29,4054,3816,49,844,136,92,42,188,42,55,267,833,251,212,186,,,,,,,,,,,,,,,
Florida,2021,22,2021-06-05,3146,3000,31,658,93,76,30,150,34,46,263,631,208,184,169,,,,,,,,,,,,,,,
Georgia,2020,1,2020-01-04,1802,1657,41,337,61,83,61,100,44,41,23,401,93,0,0,,,,,,,,,,,,,,,
Georgia,2020,2,2020-01-11,1806,1664,39,343,44,109,44,118,51,41,20,399,74,0,0,,,,,,,,,,,,,,,
Georgia,2020,3,2020-01-18,1746,1609,38,318,54,95,39,106,40,46,25,389,93,0,0,,,,,,,,,,,,,,,
Georgia,2020,4,2020-01-25,1829,1695,35,368,51,99,55,115,40,52,20,397,77,0,0,,,,,,,,,,,,,,,
Georgia,2020,5,2020-02-01,1796,1672,29,357,56,75,34,108,39,47,25,411,100,0,0,,,,,,,,,,,,,,,
Georgia,2020,6,2020-02-08,1781,1627,29,351,56,81,45,96,31,39,23,419,104,0,0,,,,,,,,,,,,,,,
Georgia,2020,7,2020-02-15,1760,1599,39,323,50,85,34,99,46,48,21,414,89,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
Georgia,2020,8,2020-02-22,1749,1604,37,335,49,90,50,107,41,37,23,398,86,0,0,,,,,,,,,,,,,,,
Georgia,2020,9,2020-02-29,1858,1707,37,387,63,80,29,100,57,43,26,400,93,0,0,,,,,,,,,,,,,,,
Georgia,2020,10,2020-03-07,1755,1595,43,325,43,82,37,80,35,37,27,432,97,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Georgia,2020,11,2020-03-14,1784,1632,29,326,52,88,39,103,45,27,43,393,90,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Georgia,2020,12,2020-03-21,1775,1626,34,377,47,69,40,100,41,47,15,369,90,42,40,,,,,,,,,,,,,,,
Georgia,2020,13,2020-03-28,1881,1735,39,375,54,81,40,98,57,46,26,368,114,98,94,,,,,,,,,,,,,,,
Georgia,2020,14,2020-04-04,2033,1865,40,361,52,108,43,111,49,37,22,358,94,221,212,,,,,,,,,,,,,,,
Georgia,2020,15,2020-04-11,2041,1882,45,329,62,109,44,106,43,37,23,416,84,217,205,,,,,,,,,,,,,,,
Georgia,2020,16,2020-04-18,2030,1896,33,309,61,101,36,86,36,65,24,417,109,267,249,,,,,,,,,,,,,,,
Georgia,2020,17,2020-04-25,2040,1879,35,335,60,131,28,93,42,28,29,374,101,260,236,,,,,,,,,,,,,,,
Georgia,2020,18,2020-05-02,1974,1839,38,324,43,102,25,101,42,37,21,395,82,275,255,,,,,,,,,,,,,,,
Georgia,2020,19,2020-05-09,1985,1818,37,332,59,105,34,90,53,38,35,394,74,208,184,,,,,,,,,,,,,,,
Georgia,2020,20,2020-05-16,1961,1807,35,366,61,107,23,98,40,37,21,387,87,198,173,,,,,,,,,,,,,,,
Georgia,2020,21,2020-05-23,1911,1733,30,345,44,106,20,84,45,39,25,398,94,155,143,,,,,,,,,,,,,,,
Georgia,2020,22,2020-05-30,1783,1629,31,302,52,93,19,101,48,40,24,358,91,144,123,,,,,,,,,,,,,,,
Georgia,2020,23,2020-06-06,1779,1606,30,342,37,87,24,77,46,38,22,368,72,122,105,,,,,,,,,,,,,,,
Georgia,2020,24,2020-06-13,1744,1579,22,331,37,74,32,82,33,41,26,369,78,119,105,,,,,,,,,,,,,,,
Georgia,2020,25,2020-06-20,1778,1616,44,332,53,81,27,84,45,49,36,378,73,94,78,,,,,,,,,,,,,,,
Georgia,2020,26,2020-06-27,1821,1653,37,347,45,84,23,89,52,46,20,363,80,129,116,,,,,,,,,,,,,,,
Georgia,2020,27,2020-07-04,1879,1722,31,320,64,95,11,74,34,52,25,425,86,150,128,,,,,,,,,,,,,,,
Georgia,2020,28,2020-07-11,1983,1805,39,329,56,88,19,90,50,37,22,442,73,225,202,,,,,,,,,,,,,,,
Georgia,2020,29,2020-07-18,2175,1978,30,381,60,101,25,81,37,35,33,419,89,296,265,,,,,,,,,,,,,,,
Georgia,2020,30,2020-07-25,2176,1993,32,342,44,95,33,78,45,34,25,414,104,377,348,,,,,,,,,,,,,,,
Georgia,2020,31,2020-08-01,2192,2018,30,341,54,95,27,102,38,33,36,406,94,419,386,,,,,,,,,,,,,,,
Georgia,2020,32,2020-08-08,2191,2015,37,322,60,93,33,87,38,43,20,373,86,473,426,,,,,,,,,,,,,,,
Georgia,2020,33,2020-08-15,2243,2080,37,352,60,99,27,90,48,42,32,436,76,426,405,,,,,,,,,,,,,,,
Georgia,2020,34,2020-08-22,2247,2074,27,354,62,79,23,94,46,43,23,429,110,413,379,,,,,,,,,,,,,,,
Georgia,2020,35,2020-08-29,2130,1966,36,348,54,87,30,73,44,45,31,397,89,345,323,,,,,,,,,,,,,,,
Georgia,2020,36,2020-09-05,2043,1854,37,343,61,94,28,95,36,32,23,354,84,261,245,,,,,,,,,,,,,,,
Georgia,2020,37,2020-09-12,2073,1875,39,335,55,80,28,90,30,47,27,405,97,261,241,,,,,,,,,,,,,,,
Georgia,2020,38,2020-09-19,1925,1788,29,348,52,76,22,79,43,34,28,380,102,225,199,,,,,,,,,,,,,,,
Georgia,2020,39,2020-09-26,1996,1827,27,368,59,97,27,77,47,30,19,414,99,219,198,,,,,,,,,,,,,,,
Georgia,2020,40,2020-10-03,1924,1775,36,314,45,84,27,79,40,45,31,439,99,167,149,,,,,,,,,,,,,,,
Georgia,2020,41,2020-10-10,1884,1738,50,351,66,95,17,69,52,35,21,400,74,166,149,,,,,,,,,,,,,,,
Georgia,2020,42,2020-10-17,1917,1739,44,308,51,102,33,86,39,47,25,416,88,154,141,,,,,,,,,,,,,,,
Georgia,2020,43,2020-10-24,1953,1798,31,351,51,100,21,101,46,42,22,410,98,174,159,,,,,,,,,,,,,,,
Georgia,2020,44,2020-10-31,1943,1786,42,316,47,73,28,78,47,40,15,418,98,202,188,,,,,,,,,,,,,,,
Georgia,2020,45,2020-11-07,2016,1846,41,335,62,75,22,105,56,38,26,405,100,215,201,,,,,,,,,,,,,,,
Georgia,2020,46,2020-11-14,2049,1867,41,357,71,94,22,68,48,46,31,406,82,233,219,,,,,,,,,,,,,,,
Georgia,2020,47,2020-11-21,1975,1805,48,340,53,84,17,87,38,30,26,425,90,220,206,,,,,,,,,,,,,,,
Georgia,2020,48,2020-11-28,2066,1900,34,355,53,101,21,85,45,62,22,423,81,251,225,,,,,,,,,,,,,,,
Georgia,2020,49,2020-12-05,2167,2020,37,354,66,96,25,97,49,39,25,459,101,290,260,,,,,,,,,,,,,,,
Georgia,2020,50,2020-12-12,2232,2089,50,400,49,90,27,98,58,42,35,418,107,340,303,,,,,,,,,,,,,,,
Georgia,2020,51,2020-12-19,2415,2249,44,389,68,114,31,98,45,34,24,483,107,383,343,,,,,,,,,,,,,,,
Georgia,2020,52,2020-12-26,2373,2208,34,334,57,98,39,78,63,42,25,443,108,495,462,,,,,,,,,,,,,,,
Georgia,2020,53,2021-01-02,2716,2529,41,339,54,116,43,107,63,42,30,492,131,682,630,,,,,,,,,,,,,,,
Georgia,2021,1,2021-01-09,2849,2701,36,370,77,119,21,93,58,44,27,495,94,828,783,,,,,,,,,,,,,,,
Georgia,2021,2,2021-01-16,3071,2907,41,363,77,128,38,107,42,63,32,511,113,981,913,,,,,,,,,,,,,,,
Georgia,2021,3,2021-01-23,2929,2789,49,338,69,100,30,104,51,51,25,525,122,923,863,,,,,,,,,,,,,,,
Georgia,2021,4,2021-01-30,2744,2582,46,347,78,94,34,92,73,55,34,429,99,873,799,,,,,,,,,,,,,,,
Georgia,2021,5,2021-02-06,2681,2505,41,334,49,101,26,98,64,52,30,477,125,715,662,,,,,,,,,,,,,,,
Georgia,2021,6,2021-02-13,2343,2185,38,363,50,87,32,87,52,35,47,432,118,479,445,,,,,,,,,,,,,,,
Georgia,2021,7,2021-02-20,2251,2085,30,362,51,92,41,90,33,51,28,423,88,406,366,,,,,,,,,,,,,,,
Georgia,2021,8,2021-02-27,2068,1917,39,331,61,80,33,74,48,48,17,420,93,312,276,,,,,,,,,,,,,,,
Georgia,2021,9,2021-03-06,1902,1745,25,340,64,71,16,85,40,38,26,368,87,252,225,,,,,,,,,,,,,,,
Georgia,2021,10,2021-03-13,1949,1782,44,339,55,71,25,79,43,38,32,397,104,184,150,,,,,,,,,,,,,,,
Georgia,2021,11,2021-03-20,1863,1703,37,326,57,88,25,89,35,26,24,400,90,171,142,,,,,,,,,,,,,,,
Georgia,2021,12,2021-03-27,1822,1674,36,338,57,77,24,90,37,34,25,411,89,118,102,,,,,,,,,,,,,,,
Georgia,2021,13,2021-04-03,1684,1556,21,323,49,73,21,97,38,36,33,348,80,133,116,,,,,,,,,,,,,,,
Georgia,2021,14,2021-04-10,1847,1736,24,381,64,94,31,85,28,42,40,363,116,121,105,,,,,,,,,,,,,,,
Georgia,2021,15,2021-04-17,1756,1637,27,363,33,65,20,87,54,37,49,366,93,119,92,,,,,,,,,,,,,,,
Georgia,2021,16,2021-04-24,1758,1643,37,363,48,68,18,94,41,32,36,361,91,115,91,,,,,,,,,,,,,,,
Georgia,2021,17,2021-05-01,1665,1561,29,310,39,78,14,74,39,48,38,350,92,109,88,,,,,,,,,,,,,,,
Georgia,2021,18,2021-05-08,1599,1497,32,326,38,64,16,68,35,39,27,332,89,100,85,,,,,,,,,,,,,,,
Georgia,2021,19,2021-05-15,1500,1399,28,268,44,54,13,88,43,49,34,314,100,60,53,,,,,,,,,,,,,,,
Georgia,2021,20,2021-05-22,1458,1371,25,301,26,69,18,67,40,35,25,309,86,70,65,,,,,,,,,,,,,,,
Georgia,2021,21,2021-05-29,1189,1149,27,263,24,55,10,61,37,26,26,251,79,52,47,,,,,,,,,,,,,,,
Georgia,2021,22,2021-06-05,785,753,12,171,17,44,,47,15,23,19,170,41,22,20,,,,,,,Suppressed (counts 1-9),,,,,,,,
Hawaii,2020,1,2020-01-04,242,222,,33,,,12,10,,,,67,18,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,2,2020-01-11,242,221,,40,,,,,,,,54,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,3,2020-01-18,215,200,,39,10,12,,,,,,44,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,4,2020-01-25,242,224,,42,10,12,,10,,,,58,16,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,5,2020-02-01,242,226,,41,,,,,,,,71,23,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,6,2020-02-08,236,217,,45,,,,,,,0,57,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Hawaii,2020,7,2020-02-15,281,257,,54,13,,12,10,,,,58,14,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,8,2020-02-22,250,230,,43,,,,11,,,,72,17,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,9,2020-02-29,238,217,,48,,,,,,,,63,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,10,2020-03-07,239,217,,49,,12,,,,,,63,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,11,2020-03-14,243,229,,52,,18,,,,,,57,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,12,2020-03-21,212,191,,42,,11,,13,,,,40,14,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,13,2020-03-28,235,216,,62,,11,11,11,,,0,53,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Hawaii,2020,14,2020-04-04,235,215,,47,,12,,10,,,,55,18,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,15,2020-04-11,221,218,,60,,12,,,,,,45,17,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,16,2020-04-18,211,193,0,52,,13,,,,,,38,26,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,17,2020-04-25,200,187,,53,,,,,,,,37,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,18,2020-05-02,223,200,,49,,13,,,,,,42,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,19,2020-05-09,210,183,,46,,,,10,,,,36,17,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,20,2020-05-16,230,212,,55,,10,,,,,0,38,24,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Hawaii,2020,21,2020-05-23,210,194,,35,,11,,12,,,,53,18,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,22,2020-05-30,200,188,,52,,10,,,,,,45,17,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,23,2020-06-06,217,200,,48,,13,,,,,,59,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,24,2020-06-13,203,184,,40,,,,,,,,46,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,25,2020-06-20,246,227,,50,,13,,12,,,,44,18,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,26,2020-06-27,236,224,,58,,17,,,,,,50,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,27,2020-07-04,207,183,0,49,,10,0,,,,,38,15,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,28,2020-07-11,239,220,,53,,10,,,,,,56,26,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),
Hawaii,2020,29,2020-07-18,227,211,,62,,15,,,,,,39,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,30,2020-07-25,219,204,,46,,,,,,,,52,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,31,2020-08-01,217,199,,59,,,,,,,,50,15,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),
Hawaii,2020,32,2020-08-08,231,208,,45,,11,,,,,,56,20,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,33,2020-08-15,223,209,,40,10,,,,,,,49,15,13,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
Hawaii,2020,34,2020-08-22,242,224,0,46,,13,,,,,,54,19,14,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,35,2020-08-29,255,231,,49,,18,,,,,,48,10,35,31,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,36,2020-09-05,235,218,,44,,10,,,,,,48,20,31,28,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,37,2020-09-12,274,256,0,62,,18,,,,,,47,23,34,31,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,38,2020-09-19,242,225,,48,,11,,,,,,44,12,32,29,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,39,2020-09-26,242,226,,48,,11,,,,,,44,15,26,24,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,40,2020-10-03,214,197,,38,,,,,,,,42,10,20,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,41,2020-10-10,231,214,,42,,,,,,,0,51,13,20,19,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Hawaii,2020,42,2020-10-17,237,221,,49,,14,,,,,,42,20,18,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,43,2020-10-24,237,213,,54,,13,,,,,,46,11,14,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,44,2020-10-31,238,217,,53,,,,,,,,45,13,11,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Hawaii,2020,45,2020-11-07,236,223,,44,,,,,,,,65,20,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,46,2020-11-14,249,226,0,58,,15,,,,,,50,18,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,47,2020-11-21,224,217,,52,,12,,,,,,47,15,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,48,2020-11-28,216,194,,40,,10,,,0,,,49,17,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,49,2020-12-05,237,216,,46,,11,,,,,,62,11,13,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
